"","Row","Study_No","Arm_No","No of arms","StudyID","Study_year","Year","Drug","Dose_intended_min","Dose_intended_max","Dosing_schedule","Dose_delivered_mean","Dose_range","Sponsored by this drug company or author employed by the drug company","Investigational_Comparator","No_randomised","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","Responders","N comp+imputed","Unpublished","No_of_arms","Recruitment","RCT_type1","RCT_type2","RCT_type3","Treatment_setting","Diagnostic_criteria","Patient_status","Scale_for_threshold","Threshold_score","Placebo_run_in","Length of randomised comparison in wks","Rescue medications","Sequence_generation","Allocation_concealment","Blinding_participant","Blinding_therapist","Blinding_assessor","Unpublished_data","Selective_reporting_bias","Attrition_bias_by_study_for_respnse","Overall_study_RoB","Age_mean","%_Female","Imputation","Scale","Mean__1","Unpublished__1","No_of_arms__1","Recruitment__1","RCT_type1__1","RCT_type2__1","RCT_type3__1","Treatment_setting__1","Diagnostic_criteria__1","Patient_status__1","Scale_for_threshold__1","Threshold_score__1","Placebo_run_in__1","Length of randomised comparison in wks__1","Rescue medications__1","Sequence_generation__1","Allocation_concealment__1","Blinding_participant__1","Blinding_therapist__1","Blinding_assessor__1","Unpublished_data__1","Selective_reporting_bias__1","Attrition_bias_by_study_for_respnse__1","Overall_study_RoB__1"
"330","du55",137,1,2,"NCT01145755",2010,"unpublished","duloxetine",60,60,"Fixed",60,"Licensed","No","Comparator",47,28,4,45,-14.03,13.22,NA,45,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated",NA,"Other/Unclear/Not stated",NA,NA,"Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Unclear risk of bias","unclear","Moderate risk","39.9","0.51063829800000005","Others/Unclear","MADRS",NA,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated",NA,"Other/Unclear/Not stated",NA,NA,"Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Unclear risk of bias","unclear","Moderate risk"
"331","du56",137,2,2,"NCT01145755",2010,"unpublished","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",44,25,2,40,-14.16,13.66,NA,40,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated",NA,"Other/Unclear/Not stated",NA,NA,"Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Unclear risk of bias","unclear","Moderate risk","38.4","0.68181818199999999","Others/Unclear","MADRS",NA,"Yes",3,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated",NA,"Other/Unclear/Not stated",NA,NA,"Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Unclear risk of bias","unclear","Moderate risk"
"332","du57",138,1,2,"Hao2014",2012,"2014","duloxetine",60,60,"Fixed",60,"Licensed","Yes","Investigational",140,32,NA,127,-13.8,6.6,86,127,"No",2,"Asia","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Both","HAMD17","18","No",6,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Unclear risk of bias","unclear","Moderate risk","38.4","0.55905511799999996","LOCF","HAMD17",23.7,"No",2,"Asia","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Both","HAMD17","18","No",6,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Unclear risk of bias","unclear","Moderate risk"
"333","du58",138,2,2,"Hao2014",2012,"2014","paroxetine",20,20,"Fixed",20,"Licensed","No","Comparator",141,36,NA,132,-12,7.1,74,132,"No",2,"Asia","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Both","HAMD17","18","No",6,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Unclear risk of bias","unclear","Moderate risk","38.5","0.62121212100000001","LOCF","HAMD17",23.7,"No",2,"Asia","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Both","HAMD17","18","No",6,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Unclear risk of bias","unclear","Moderate risk"
"334","e01",139,1,4,"Burke2002 (SCT-MD-01)",2000,"2002","escitalopram",10,10,"Fixed",10,"Licensed","Yes","Investigational",124,29,5,118,-10.2,7.6,47,118,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","40.6",NA,"Others","HAMDunspecified",24.3,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"335","e02",139,2,4,"Burke2002 (SCT-MD-01)",2000,"2002","escitalopram",20,20,"Fixed",20,"Licensed","Yes","Investigational",128,34,13,123,-11.7,8.87,55,123,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","39.6",NA,"Others","HAMDunspecified",25.8,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"336","e03",139,3,4,"Burke2002 (SCT-MD-01)",2000,"2002","citalopram",40,40,"Fixed",40,"Licensed","Yes","Comparator",127,34,11,125,-9.9,10.06,48,125,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","40",NA,"Others","HAMDunspecified",25.9,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"337","e04",139,4,4,"Burke2002 (SCT-MD-01)",2000,"2002","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",127,36,3,119,-7.6,8.73,32,119,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","40.299999999999997",NA,"Others","HAMDunspecified",25.8,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"344","e11",142,1,2,"SCT-MD-09",2001,"unpublished","escitalopram",10,20,"Fixed",20,"Licensed","Yes","Investigational",16,1,1,NA,NA,NA,NA,NA,"Yes",2,"North America","Parallel","Individual randomised","Single center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMDunspecified","18","Unclear",5,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Unclear risk of bias","low","Moderate risk","35.9",NA,"Others",NA,NA,"Yes",2,"North America","Parallel","Individual randomised","Single center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMDunspecified","18","Unclear",5,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Unclear risk of bias","low","Moderate risk"
"345","e12",142,2,2,"SCT-MD-09",2001,"unpublished","fluoxetine",20,40,"Fixed",40,"Licensed","No","Comparator",14,2,1,NA,NA,NA,NA,NA,"Yes",2,"North America","Parallel","Individual randomised","Single center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMDunspecified","18","Unclear",5,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Unclear risk of bias","low","Moderate risk","41.4",NA,"Others",NA,NA,"Yes",2,"North America","Parallel","Individual randomised","Single center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMDunspecified","18","Unclear",5,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Unclear risk of bias","low","Moderate risk"
"350","e17",145,1,2,"Bielski2004 (SCT-MD-12)",2002,"2004","escitalopram",20,20,"Fixed",20,"Licensed","Yes","Investigational",101,29,4,97,-14.9,9,59,97,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","HAMD24","20","Yes",8,"Unclear","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk","37.299999999999997",NA,"LOCF","HAMD24",28.6,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","HAMD24","20","Yes",8,"Unclear","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Moderate risk"
"351","e18",145,2,2,"Bielski2004 (SCT-MD-12)",2002,"2004","venlafaxine",225,225,"Fixed",225,"Licensed","No","Comparator",101,35,16,98,-12.9,9.1,47,98,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","HAMD24","20","Yes",8,"Unclear","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk","37.5",NA,"LOCF","HAMD24",27.4,"Yes",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","HAMD24","20","Yes",8,"Unclear","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","unclear","Low risk"
"354","e21",147,1,2,"Wade2002 (ESC Study 99001 - FDA)",2002,"2002","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",189,29,2,189,16.7,9.1,79,189,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","40","0.77800000000000002","Others","MADRS",28.7,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"355","e22",147,2,2,"Wade2002 (ESC Study 99001 - FDA)",2002,"2002","escitalopram",10,10,"Fixed",10,"Licensed","Yes","Investigational",191,31,9,188,14.3,9.1,104,188,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk","41","0.73799999999999999","Others","MADRS",29.2,"Yes",2,"Cross-Continental","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk"
"366","e33",152,1,2,"Colonna2005 (Study 99022)",2005,"2005","escitalopram",10,10,"Fixed",10,"Licensed","Yes","Investigational",175,25,NA,165,13.2,9.85,104,165,"Yes",2,"Europe","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Unclear risk of bias","low","Moderate risk","46",NA,"LOCF","MADRS",29.5,"Yes",2,"Europe","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Unclear risk of bias","low","Moderate risk"
"367","e34",152,2,2,"Colonna2005 (Study 99022)",2005,"2005","citalopram",20,20,"Fixed",20,"Licensed","No","Comparator",182,30,NA,174,14.2,9.85,96,174,"Yes",2,"Europe","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Unclear risk of bias","low","Low risk","46",NA,"LOCF","MADRS",30.2,"Yes",2,"Europe","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","MADRS","22","Yes",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Unclear risk of bias","low","Low risk"
"368","e35",153,1,2,"Moore2005",2005,"2005","escitalopram",20,20,"Fixed",20,"Licensed","Yes","Investigational",142,10,4,138,-22.4,9.96,105,138,"No",2,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Outpatients only","MADRS","30","No",8,"Unclear","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","low","Moderate risk","44.1",NA,"LOCF","MADRS",36.3,"No",2,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Outpatients only","MADRS","30","No",8,"Unclear","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","low","Moderate risk"
"369","e36",153,2,2,"Moore2005",2005,"2005","citalopram",40,40,"Fixed",40,"Licensed","No","Comparator",152,25,9,142,-20.3,9.96,87,142,"No",2,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Outpatients only","MADRS","30","No",8,"Unclear","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","low","Low risk","46.2",NA,"LOCF","MADRS",35.7,"No",2,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Outpatients only","MADRS","30","No",8,"Unclear","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","low","Low risk"
"370","e37",154,1,3,"Kasper2005a (Study 99024)",2005,"2005","escitalopram",10,10,"Fixed",10,"Licensed","Yes","Investigational",174,30,17,173,-15.5,9.96,78,170,"Yes",3,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Both","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk","75",NA,"LOCF","MADRS",28.2,"Yes",3,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Both","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk"
"371","e38",154,2,3,"Kasper2005a (Study 99024)",2005,"2005","fluoxetine",20,20,"Fixed",20,"Licensed","No","Comparator",164,42,20,164,-14.8,9.96,61,164,"Yes",3,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Both","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk","75",NA,"LOCF","MADRS",28.5,"Yes",3,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Both","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk"
"372","e39",154,3,3,"Kasper2005a (Study 99024)",2005,"2005","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",180,20,5,180,-15,9.96,85,180,"Yes",3,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Both","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk","75",NA,"LOCF","MADRS",28.6,"Yes",3,"Europe","Parallel","Individual randomised","Multi-center","Both","DSM-IV","Both","MADRS","22","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk"
